"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2019";"21967";" 6267";" 5480";"  705";" 5269";" 1184";"   20";"    2";"  304";"  222";"   59";"   14";"    2";"   11";"   10";"    0";"   27";"  237";"  781";" 7752";"  312";"  281";"    0";"  797";" 8232";"   77";" 1338";"  359";"   13";"    1";" 1832";"   77";" 1338";"  718";"  301";"    2";" 2740"
"Total_2020";"22078";" 6117";" 5322";"  724";" 5123";" 1183";"   19";"    2";"  301";"  217";"   58";"   14";"    2";"   11";"    9";"    0";"   26";"  241";"  815";" 8014";"  310";"  249";"    0";"  740";" 8179";"   76";" 1301";"  357";"   12";"    1";" 1793";"   76";" 1301";"  716";"  272";"    2";" 2656"
"Total_2021";"22158";" 5952";" 5148";"  722";" 4963";" 1175";"   19";"    3";"  293";"  209";"   55";"   15";"    3";"   11";"   10";"    0";"   26";"  245";"  853";" 8290";"  310";"  262";"    0";"  724";" 8093";"   74";" 1261";"  355";"   12";"    2";" 1754";"   74";" 1261";"  712";"  278";"    3";" 2619"
"Total_2022";"22246";" 5825";" 5009";"  733";" 4807";" 1153";"   19";"    3";"  289";"  208";"   53";"   14";"    3";"   11";"   10";"    0";"   27";"  251";"  886";" 8556";"  300";"  248";"    0";"  700";" 8066";"   73";" 1221";"  353";"   12";"    2";" 1713";"   73";" 1221";"  692";"  263";"    3";" 2552"
"Total_2023";"22307";" 5650";" 4835";"  735";" 4682";" 1143";"   19";"    3";"  279";"  207";"   52";"   14";"    3";"   12";"    9";"    0";"   27";"  259";"  922";" 8840";"  294";"  230";"    0";"  685";" 8047";"   71";" 1189";"  348";"   12";"    2";" 1677";"   71";" 1189";"  691";"  252";"    3";" 2465"
"Total_2024";"22343";" 5523";" 4713";"  744";" 4529";" 1134";"   18";"    3";"  279";"  198";"   50";"   14";"    3";"   11";"    9";"    0";"   26";"  267";"  958";" 9132";"  265";"  222";"    0";"  650";" 7970";"   71";" 1150";"  348";"   11";"    2";" 1640";"   71";" 1150";"  660";"  238";"    3";" 2399"
"Total_2025";"22414";" 5393";" 4591";"  744";" 4422";" 1106";"   18";"    3";"  267";"  198";"   49";"   14";"    3";"   11";"    9";"    0";"   26";"  270";"  991";" 9428";"  263";"  211";"    0";"  625";" 7857";"   68";" 1123";"  344";"   11";"    2";" 1601";"   68";" 1123";"  632";"  227";"    3";" 2364"
"Total_2026";"22469";" 5281";" 4438";"  752";" 4308";" 1099";"   18";"    3";"  260";"  191";"   45";"   14";"    3";"   11";"    9";"    0";"   26";"  279";" 1028";" 9725";"  249";"  190";"    0";"  592";" 7863";"   66";" 1094";"  336";"   11";"    2";" 1573";"   66";" 1094";"  652";"  207";"    3";" 2275"
"Total_2027";"22485";" 5160";" 4307";"  750";" 4181";" 1090";"   17";"    3";"  258";"  185";"   47";"   13";"    3";"   11";"    8";"    0";"   25";"  285";" 1061";"10037";"  244";"  176";"    0";"  581";" 7769";"   66";" 1062";"  336";"   11";"    2";" 1541";"   66";" 1062";"  622";"  197";"    3";" 2217"
"Total_2028";"22512";" 5028";" 4212";"  753";" 4073";" 1061";"   17";"    3";"  253";"  182";"   44";"   13";"    3";"   10";"    8";"    0";"   26";"  295";" 1094";"10346";"  225";"  174";"    0";"  554";" 7721";"   64";" 1035";"  333";"   11";"    2";" 1509";"   64";" 1035";"  616";"  191";"    3";" 2174"
