"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2019";"23413";" 7789";" 6922";"  966";" 6582";" 1728";"   47";"   38";"  406";"  312";"  100";"   36";"   38";"   30";"   27";"    7";"   55";"  303";" 1054";" 8261";"  908";"  835";"  207";" 1646";"10673";"  103";" 1672";"  512";"   30";"   24";" 2268";"  103";" 1672";" 1387";"  858";"  224";" 3816"
"Total_2020";"23528";" 7631";" 6780";"  974";" 6431";" 1736";"   48";"   39";"  400";"  305";"   98";"   36";"   39";"   30";"   28";"    7";"   54";"  308";" 1103";" 8559";"  897";"  812";"  210";" 1593";"10591";"  102";" 1633";"  514";"   30";"   25";" 2234";"  102";" 1633";" 1359";"  834";"  225";" 3706"
"Total_2021";"23617";" 7487";" 6626";"  987";" 6317";" 1752";"   46";"   40";"  397";"  303";"   95";"   36";"   40";"   30";"   28";"    7";"   54";"  314";" 1148";" 8845";"  860";"  801";"  194";" 1545";"10512";"  101";" 1605";"  520";"   29";"   25";" 2197";"  101";" 1605";" 1337";"  823";"  219";" 3648"
"Total_2022";"23679";" 7357";" 6473";"  994";" 6181";" 1755";"   46";"   38";"  387";"  301";"   92";"   36";"   38";"   30";"   27";"    8";"   54";"  324";" 1188";" 9146";"  862";"  752";"  209";" 1502";"10503";"   98";" 1570";"  519";"   29";"   24";" 2160";"   98";" 1570";" 1347";"  776";"  231";" 3583"
"Total_2023";"23787";" 7201";" 6319";"  994";" 6023";" 1754";"   46";"   41";"  383";"  293";"   90";"   36";"   41";"   30";"   27";"    7";"   54";"  326";" 1235";" 9438";"  842";"  740";"  189";" 1475";"10332";"   97";" 1530";"  519";"   29";"   26";" 2122";"   97";" 1530";" 1318";"  764";"  215";" 3504"
"Total_2024";"23830";" 7078";" 6205";" 1014";" 5910";" 1759";"   46";"   39";"  378";"  292";"   87";"   35";"   39";"   30";"   27";"    8";"   53";"  334";" 1281";" 9753";"  796";"  718";"  206";" 1412";"10267";"   96";" 1501";"  522";"   29";"   25";" 2092";"   96";" 1501";" 1269";"  737";"  221";" 3416"
"Total_2025";"23908";" 6939";" 6038";" 1022";" 5760";" 1763";"   44";"   38";"  372";"  286";"   86";"   35";"   38";"   29";"   26";"    8";"   53";"  339";" 1323";"10062";"  758";"  664";"  198";" 1351";"10204";"   94";" 1463";"  523";"   28";"   24";" 2053";"   94";" 1463";" 1227";"  688";"  215";" 3298"
"Total_2026";"23959";" 6804";" 5907";" 1026";" 5635";" 1761";"   44";"   38";"  368";"  281";"   84";"   36";"   38";"   30";"   26";"    8";"   53";"  353";" 1363";"10390";"  760";"  668";"  191";" 1325";"10057";"   93";" 1431";"  522";"   28";"   24";" 2023";"   93";" 1431";" 1238";"  687";"  210";" 3286"
"Total_2027";"24010";" 6679";" 5767";" 1026";" 5516";" 1747";"   43";"   38";"  361";"  279";"   82";"   35";"   38";"   29";"   27";"    8";"   53";"  358";" 1410";"10719";"  702";"  661";"  166";" 1293";"10036";"   92";" 1401";"  522";"   27";"   24";" 1993";"   92";" 1401";" 1174";"  678";"  190";" 3170"
"Total_2028";"24070";" 6551";" 5664";" 1022";" 5371";" 1739";"   43";"   37";"  357";"  275";"   80";"   35";"   37";"   29";"   26";"    8";"   51";"  370";" 1452";"11069";"  689";"  601";"  180";" 1200";"10070";"   91";" 1364";"  520";"   27";"   23";" 1956";"   91";" 1364";" 1163";"  620";"  199";" 3080"
